,Время,Направление,Unnamed: 2,Рейс,Терминал,Статус
749,Совершил посадку в 20:42,Совершил посадку в 20:42,,SU 1249Аэрофлот,B,ПрилетелВыдача багажа: лента 4
750,21:10,Архангельск,,"FV 6336, SU 6336Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 4
751,Совершил посадку в 20:55,Совершил посадку в 20:55,,"FV 6336, SU 6336Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 4
752,21:15,Уфа,,SU 1259Аэрофлот,B,ПрилетелВыдача багажа: лента 5
753,Совершил посадку в 20:46,Совершил посадку в 20:46,,SU 1259Аэрофлот,B,ПрилетелВыдача багажа: лента 5
754,21:20,Калининград,,SU 1011Аэрофлот,B,ПрилетелВыдача багажа: лента 2
755,Совершил посадку в 21:00,Совершил посадку в 21:00,,SU 1011Аэрофлот,B,ПрилетелВыдача багажа: лента 2
756,21:20,Симферополь,,SU 1625Аэрофлот,B,ПрилетелВыдача багажа: лента 4
757,Совершил посадку в 21:03,Совершил посадку в 21:03,,SU 1625Аэрофлот,B,ПрилетелВыдача багажа: лента 4
758,21:30,Назрань,,SU 1079Аэрофлот,B,ПрилетелВыдача багажа: лента 1
759,Совершил посадку в 20:55,Совершил посадку в 20:55,,SU 1079Аэрофлот,B,ПрилетелВыдача багажа: лента 1
760,21:30,Самара,,SU 1215Аэрофлот,B,ПрилетелВыдача багажа: лента 3
761,Совершил посадку в 21:09,Совершил посадку в 21:09,,SU 1215Аэрофлот,B,ПрилетелВыдача багажа: лента 3
762,21:30,Чэнду,,MU 319China Eastern Airlines,F,Нет актуальной информации о статусе
763,,,,MU 319China Eastern Airlines,F,Нет актуальной информации о статусе
764,21:35,Екатеринбург,,SU 1405Аэрофлот,B,ПрилетелВыдача багажа: лента 5
765,Совершил посадку в 21:01,Совершил посадку в 21:01,,SU 1405Аэрофлот,B,ПрилетелВыдача багажа: лента 5
766,21:40,Махачкала,,"FV 6070, SU 6070Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 1
767,Совершил посадку в 21:19,Совершил посадку в 21:19,,"FV 6070, SU 6070Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 1
768,21:40,Пермь,,DP 4430Победа,D,ПрилетелВыдача багажа: лента 4
769,Совершил посадку в 21:36,Совершил посадку в 21:36,,DP 4430Победа,D,ПрилетелВыдача багажа: лента 4
770,21:45,Сочи,,"EO 230, N4 230Pegas Fly, Nordwind",D,ПрилетелВыдача багажа: лента 1
771,Совершил посадку в 21:27,Совершил посадку в 21:27,,"EO 230, N4 230Pegas Fly, Nordwind",D,ПрилетелВыдача багажа: лента 1
772,21:50,Ижевск,,"FV 6380, SU 6380Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 5
773,Совершил посадку в 21:25,Совершил посадку в 21:25,,"FV 6380, SU 6380Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 5
774,21:50,Нижний Новгород,,"FV 6350, SU 6350Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 4
775,Совершил посадку в 21:39,Совершил посадку в 21:39,,"FV 6350, SU 6350Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 4
776,22:05,Сочи,,AZ 3971Alitalia,B,ПрилетелВыдача багажа: лента 2
777,Совершил посадку в 21:34,Совершил посадку в 21:34,,AZ 3971Alitalia,B,ПрилетелВыдача багажа: лента 2
778,22:05,Сочи,,SU 1129Аэрофлот,B,ПрилетелВыдача багажа: лента 2
779,Совершил посадку в 21:34,Совершил посадку в 21:34,,SU 1129Аэрофлот,B,ПрилетелВыдача багажа: лента 2
780,22:05,Краснодар,,"EO 162, N4 162Pegas Fly, Nordwind",D,ПрилетелВыдача багажа: лента 3
781,Совершил посадку в 21:54,Совершил посадку в 21:54,,"EO 162, N4 162Pegas Fly, Nordwind",D,ПрилетелВыдача багажа: лента 3
